filename,category,tempo,tags,description,num_downloads,duration,license,username
Nandoo Messany - Hardstyle Kick 3_128756.mp3,kicks,150.5515023038736,"nustyle, free, sample, recordings, hardstyle, music, nandoo, download, wav, electronic, messany, kick",A Hardstyle/Nustyle kick made in FL Studio and Sony Filters/effects,65,6.40417,https://creativecommons.org/licenses/by-nc/4.0/,Nandoo1
Nandoo Messany - Hardstyle Kick 6_128757.mp3,kicks,150.32877568087702,"nustyle, free, sample, recordings, hardstyle, music, nandoo, download, wav, electronic, messany, kick",A Hardstyle/Nustyle kick made in FL Studio and Sony Filters/effects,83,6.40417,https://creativecommons.org/licenses/by-nc/4.0/,Nandoo1
Nandoo Messany - Hardstyle Kick 5_128758.mp3,kicks,150.66285468561318,"nustyle, free, sample, recordings, hardstyle, music, nandoo, download, wav, electronic, messany, kick",A Hardstyle/Nustyle kick made in FL Studio and Sony Filters/effects,155,6.40417,https://creativecommons.org/licenses/by-nc/4.0/,Nandoo1
Nandoo Messany - Hardstyle Kick 7_128759.mp3,kicks,150.66285468561318,"nustyle, free, sample, recordings, hardstyle, music, nandoo, download, wav, electronic, messany, kick",A Hardstyle/Nustyle kick made in FL Studio and Sony Filters/effects,85,6.40417,https://creativecommons.org/licenses/by-nc/4.0/,Nandoo1
Nandoo Messany - Hardstyle Kick 9_128760.mp3,kicks,150.66285468561318,"nustyle, free, sample, recordings, hardstyle, music, nandoo, download, wav, electronic, messany, kick",A Hardstyle/Nustyle kick made in FL Studio and Sony Filters/effects,484,6.40417,https://creativecommons.org/licenses/by-nc/4.0/,Nandoo1
Nandoo Messany - Hardstyle Kick 8_128761.mp3,kicks,150.32877568087702,"nustyle, free, sample, recordings, hardstyle, music, nandoo, download, wav, electronic, messany, kick",A Hardstyle/Nustyle kick made in FL Studio and Sony Filters/effects,267,6.40417,https://creativecommons.org/licenses/by-nc/4.0/,Nandoo1
H-Kick03.wav_120137.mp3,kicks,132.51202299074745,"beat, kick, sound",Hard Electronic Kick,53,1.79018,http://creativecommons.org/licenses/sampling+/1.0/,I Death God
H-Kick04.wav_120138.mp3,kicks,135.99918436675625,"beat, kick, sound",Hard Electronic Kick,55,1.79018,http://creativecommons.org/licenses/sampling+/1.0/,I Death God
H-Kick05.wav_120139.mp3,kicks,172.265610214406,"beat, kick, sound",Hard Electronic Kick,45,1.79018,http://creativecommons.org/licenses/sampling+/1.0/,I Death God
H-Kick07.wav_120141.mp3,kicks,172.265610214406,"beat, kick, sound",Hard Electronic Kick,44,1.79018,http://creativecommons.org/licenses/sampling+/1.0/,I Death God
"Snaresd, Snares, Mix (11).wav_13202.mp3",snares,142.94500230805764,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",250,3.16644,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (12).wav_13203.mp3",snares,133.12225327905568,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",243,3.58615,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (13).wav_13204.mp3",snares,234.90768606249122,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",221,1.06956,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (14).wav_13205.mp3",snares,120.18530996027204,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",193,1.37154,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (16).wav_13207.mp3",snares,137.2244103181704,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",268,2.22165,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (17).wav_13208.mp3",snares,105.9570375093949,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",435,6.2195,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (19).wav_13210.mp3",snares,151.99908326648819,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",198,1.13246,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (2).wav_13211.mp3",snares,109.11018545921979,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",256,5.19673,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
"Snaresd, Snares, Mix (20).wav_13212.mp3",snares,0.0,"acoustic, drum-roll, roll, snare","Snare roll, completely unprocessed. Recorded with one dynamic mike over the snare, using 5A sticks.",309,1.14644,http://creativecommons.org/publicdomain/zero/1.0/,annannienann
