filename,sound id,category,tempo,tags,description,num_downloads,duration,license,username
xKicks - I am the Stardust.wav,396931,bass,149.82768996304887,"techno, drum, bass-drum, beat, hard, gabber, distortion, bass, hardstyle, kickdrum, distorted, hardcore, kick, bassdrum",There are plenty of new xKicks still sitting on my computer here… and i mean tens of thousands of now-HQ distorted kicks just waiting to be released for free.,55,6.56667,http://creativecommons.org/publicdomain/zero/1.0/,ElectroShockNetwork
harder kick hat odd timing 120bpm-18.wav,418591,kicks,118.81957103087947,"groovy, drum-loop, drum, drums, quantized, percussion, 120bpm, hat, beat, percussion-loop, loop, rhythm, timing, percs, odd, kick",harder kick hat odd timing 120bpm,41,4.0,https://creativecommons.org/licenses/by/4.0/,@realdavidfloat
tomtom ride snare variation 120bpm-08.wav,420283,snares,110.13465360264486,"drum, rhythm, 120bpm, ride, variation, beat, tomtom, drums, snare, loop",tomtom ride snare variation 120bpm  drums drum beat loop rhythm,29,8.72728,https://creativecommons.org/licenses/by/4.0/,@realdavidfloat
tomtom ride snare variation 120bpm-13.wav,420288,snares,109.95678270939496,"drum, rhythm, 120bpm, ride, variation, beat, tomtom, drums, snare, loop",tomtom ride snare variation 120bpm  drums drum beat loop rhythm,26,8.72728,https://creativecommons.org/licenses/by/4.0/,@realdavidfloat
snare 2.wav,209889,snares,0.0,"hit, drum, tama, kit, sample, percussion, drums, dw, snare, ludwig","snare, drum kit tama dw ludwig percussion hit sample drums",1855,0.787732,http://creativecommons.org/publicdomain/zero/1.0/,Logicogonist
TapeSnare_18.wav,212211,claps,0.0,"punchy, snappy, LM2, 909, Linn, 808, Tape, Compressed, Snare, Accoustic, clap","One snare out of a bunch of custom snares made by me, combined samples, multi-band  compressed and hit to tape. Custom to the point that i layered and re-sampled, layered and resampled. So much mangling and layering and resampling that its impossible to tell you the source to these snares.",122,0.474646,http://creativecommons.org/publicdomain/zero/1.0/,alexthegr81
TapeSnare_5.wav,212233,claps,0.0,"punchy, snappy, Lm2, 909, Linn, 808, snare, accoustic, clap",Really low end 909 snare with a clap on top. Dropped it in the process chain and sampled it.,162,0.148313,http://creativecommons.org/publicdomain/zero/1.0/,alexthegr81
PPU-SNARE - Marker #116.wav,208271,snares,0.0,"drum, punchy, tight, bright, layered, tech, processed, snare","Heavily processed, strongly compressed, tight and bright punchy tekky snare sound nice for producing technoid-neurofunk drum-n-bass",41,0.685646,http://creativecommons.org/publicdomain/zero/1.0/,choomaque-crispydinner
PPU-SNARE - Marker #60.wav,208282,snares,0.0,"drum, punchy, tight, bright, layered, tech, processed, snare","Heavily processed, strongly compressed, tight and bright punchy tekky snare sound nice for producing technoid-neurofunk drum-n-bass",54,0.685714,http://creativecommons.org/publicdomain/zero/1.0/,choomaque-crispydinner
PPU-SNARE - Marker #127.wav,208284,snares,0.0,"drum, punchy, tight, bright, layered, tech, processed, snare","Heavily processed, strongly compressed, tight and bright punchy tekky snare sound nice for producing technoid-neurofunk drum-n-bass",49,0.685873,http://creativecommons.org/publicdomain/zero/1.0/,choomaque-crispydinner
